lga,vector
Bayswater,"[0.008488277904689312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07424356043338776, 0.01561958622187376, 0.005687723867595196, 0.08472398668527603, 0.16142164170742035, 0.0, 0.0, 0.03454498201608658, 0.05658851936459541, 0.0, 0.024483196437358856, 0.02687954716384411, 0.07111098617315292, 0.010639219544827938, 0.0, 0.000577433907892555, 0.0, 0.023198407143354416, 0.03177329897880554, 0.0, 0.0, 0.0, 0.0, 0.01312218513339758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03873137757182121, 0.0, 0.006654925644397736, 0.02615775540471077, 0.018131423741579056, 0.0, 0.03239404037594795, 0.0, 0.0, 0.0, 0.22919794917106628, 0.0, 0.005629980470985174, 0.0]"
Bega Valley,"[0.043714214116334915, 0.22530052065849304, 0.14650095999240875, 0.029766911640763283, 0.1939869225025177, 0.0, 0.0, 0.0, 0.011206685565412045, 0.0, 0.0, 0.017176348716020584, 0.026320787146687508, 0.0, 0.0, 0.012536292895674706, 0.0, 0.0, 0.012427753768861294, 0.0, 0.0, 0.002387865213677287, 0.010039888322353363, 0.0, 0.0, 0.0, 0.0, 0.0462920255959034, 0.009225843474268913, 0.0, 0.03720185533165932, 0.17591512203216553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Bellingen,"[0.08259864151477814, 0.1504552662372589, 0.1528400033712387, 0.016620898619294167, 0.0, 0.0, 0.02196849323809147, 0.0, 0.0, 0.0, 0.0, 0.08657320588827133, 0.07428818941116333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0733487531542778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04574360325932503, 0.0, 0.0, 0.11388929188251495, 0.1205376535654068, 0.0, 0.0, 0.0, 0.06113600358366966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Belmont,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012370207346975803, 0.0, 0.03141039237380028, 0.028595756739377975, 0.34944063425064087, 0.0, 0.0, 0.03751271218061447, 0.015326757915318012, 0.0, 0.0, 0.006764587480574846, 0.09931644797325134, 0.2682892084121704, 0.0, 0.0012772298650816083, 0.010454362258315086, 0.023344922810792923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01428605243563652, 0.0, 0.032876841723918915, 0.0, 0.0, 0.0, 0.021287163719534874, 0.0, 0.0, 0.0, 0.03772558644413948, 0.0, 0.0, 0.009721138514578342]"
Belyuen,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Benalla,"[0.10477408766746521, 0.28092384338378906, 0.09366372972726822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037101879715919495, 0.012255067005753517, 0.0, 0.0, 0.045518819242715836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1785064935684204, 0.04363342374563217, 0.0, 0.16248063743114471, 0.01582385040819645, 0.02531816065311432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Berri Barmera,"[0.0, 0.018655303865671158, 0.06988636404275894, 0.0, 0.05691288039088249, 0.0, 0.0, 0.0, 0.0, 0.05464015156030655, 0.0, 0.0008522727293893695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04460227116942406, 0.0, 0.0, 0.02187499962747097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2652462124824524, 0.03333333507180214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34223484992980957, 0.07907196879386902, 0.0, 0.0, 0.0, 0.0, 0.012689393945038319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Berrigan,"[0.0, 0.10034642368555069, 0.27217090129852295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02782909944653511, 0.2285219430923462, 0.0, 0.05819861590862274, 0.28083139657974243, 0.0, 0.0, 0.0, 0.03210161626338959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Beverley,"[0.19940827786922455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8005917072296143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Blackall Tambo,"[0.0, 0.4069218635559082, 0.1934976428747177, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25117987394332886, 0.0, 0.14840063452720642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
