lga,vector
Liverpool,"[0.0028664679266512394, 0.0, 0.001170509960502386, 0.0, 0.02986082062125206, 0.0, 0.014242628589272499, 0.018809325993061066, 0.08082927018404007, 0.00931708887219429, 0.017215894535183907, 0.0, 0.002759669441729784, 0.006788103375583887, 0.003020257456228137, 0.0, 0.00863357912749052, 0.010209922678768635, 0.02143656648695469, 0.0189374852925539, 0.0, 0.002110335510224104, 0.0013926505343988538, 0.0, 0.0, 0.021261416375637054, 0.0045367940329015255, 0.0, 0.0, 0.008607947267591953, 0.0, 0.002178686438128352, 0.002473450032994151, 0.0, 0.0, 0.0012602206552401185, 0.05240381881594658, 0.004707671701908112, 0.05517202988266945, 0.0, 0.0014140101848170161, 0.0, 0.19144673645496368, 0.07831737399101257, 0.0, 0.16984355449676514, 0.04999444633722305, 0.0, 0.00264432723633945, 0.10413694381713867]"
Liverpool Plains,"[0.0, 0.24055112898349762, 0.26937174797058105, 0.0, 0.0, 0.043610163033008575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06750094890594482, 0.32119834423065186, 0.0, 0.0, 0.0, 0.04626469314098358, 0.011502970941364765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Livingstone,"[0.044787488877773285, 0.12501904368400574, 0.0505763478577137, 0.0, 0.01000355463474989, 0.010028944350779057, 0.048926014453172684, 0.01713806949555874, 0.0, 0.031965672969818115, 0.0, 0.0005585741018876433, 0.09074290096759796, 0.018712231889367104, 0.07357944548130035, 0.14010053873062134, 0.0, 0.0, 0.03265119716525078, 0.0, 0.006855227518826723, 0.0015233838930726051, 0.0, 0.006601330358535051, 0.0, 0.0, 0.0, 0.060656070709228516, 0.011450769379734993, 0.0, 0.06009749695658684, 0.006982176564633846, 0.006550550926476717, 0.024780379608273506, 0.0, 0.08289747685194016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036815110594034195]"
Lockhart,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07229851931333542, 0.0, 0.0, 0.0, 0.0, 0.10106245428323746, 0.0, 0.0, 0.07359419763088226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.753044843673706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Lockhart River,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08734939992427826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9126505851745605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Lockyer Valley,"[0.0, 0.17767570912837982, 0.013828132301568985, 0.0, 0.28317293524742126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023792164400219917, 0.0, 0.0, 0.19121220707893372, 0.0, 0.0, 0.008846116252243519, 0.0, 0.0, 0.0025517642498016357, 0.0, 0.0, 0.0, 0.0, 0.0371585488319397, 0.0781082883477211, 0.02488577738404274, 0.0, 0.021945172920823097, 0.017813745886087418, 0.02568776160478592, 0.0, 0.0, 0.006221444346010685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012734519317746162, 0.07436570525169373]"
Loddon,"[0.1132819652557373, 0.08172812312841415, 0.06420840322971344, 0.0, 0.0, 0.0330214649438858, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04375344142317772, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3882773816585541, 0.0, 0.0, 0.1320858597755432, 0.07549073547124863, 0.0, 0.031278666108846664, 0.036873966455459595, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Logan,"[0.0008199381409212947, 0.0015790327452123165, 0.007883574813604355, 0.0, 0.024740111082792282, 0.0, 0.037134792655706406, 0.01184998918324709, 0.026646539568901062, 0.013362383469939232, 0.006061167921870947, 0.0, 0.006350898649543524, 0.0233320202678442, 0.029677124693989754, 0.004896450322121382, 0.0, 0.004713919945061207, 0.07839825004339218, 0.0, 0.015187687240540981, 0.00125453423243016, 0.0016138004139065742, 0.0, 0.002511965809389949, 0.07344385236501694, 0.12734247744083405, 0.0005939481197856367, 0.0, 0.00680577615275979, 0.0, 0.0011270527029410005, 0.005951070226728916, 0.0, 0.0, 0.0010372361866757274, 0.0071244798600673676, 0.0, 0.0, 0.1644424945116043, 0.1562778800725937, 0.0, 0.018479028716683388, 0.002645242027938366, 0.0, 0.014715426601469517, 0.0088599668815732, 0.0, 0.0, 0.11313986778259277]"
Longreach,"[0.0, 0.3043597340583801, 0.07101727277040482, 0.042226485908031464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11434055119752884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3539895713329315, 0.0, 0.0, 0.05429119989275932, 0.0, 0.059775158762931824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Lower Eyre Peninsula,"[0.052399683743715286, 0.0, 0.0, 0.0, 0.4121164381504059, 0.024547601118683815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03808025270700455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43367427587509155, 0.0, 0.039181746542453766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Loxton Waikerie,"[0.04257292300462723, 0.0, 0.04569212719798088, 0.0, 0.0, 0.014921598136425018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01079076062887907, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023436183109879494, 0.0, 0.0, 0.010959366336464882, 0.022003034129738808, 0.0, 0.0, 0.0, 0.0, 0.04459618777036667, 0.10757039487361908, 0.0, 0.15250378847122192, 0.0, 0.0, 0.0, 0.048052605241537094, 0.47690102458000183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MacDonnell,"[0.0, 0.035136546939611435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0019133762689307332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020351365208625793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9425987005233765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Macedon Ranges,"[0.015095879323780537, 0.12230187654495239, 0.0330088771879673, 0.011132482439279556, 0.0, 0.0, 0.009209069423377514, 0.06652289628982544, 0.0, 0.01711643487215042, 0.0, 0.0001165704961749725, 0.1478308141231537, 0.0, 0.06990344077348709, 0.18181112408638, 0.0, 0.0, 0.0, 0.0, 0.05684754624962807, 0.0001165704961749725, 0.012647898867726326, 0.0, 0.07866565883159637, 0.0, 0.03502943366765976, 0.03287287801504135, 0.011190767399966717, 0.0, 0.02683064341545105, 0.0, 0.0564589761197567, 0.0, 0.0, 0.0, 0.0, 0.003283402416855097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012006761506199837]"
Mackay,"[0.00801077950745821, 0.017130743712186813, 0.010196284390985966, 0.0, 0.00736991735175252, 0.0, 0.05308476462960243, 0.004017713945358992, 0.009276071563363075, 0.04693084582686424, 0.0, 0.0009448612108826637, 0.020474731922149658, 0.06881876289844513, 0.046084579080343246, 0.06893378496170044, 0.0, 0.0, 0.04791678488254547, 0.020088570192456245, 0.009686881676316261, 0.0030810690950602293, 0.0033932840451598167, 0.005052953492850065, 0.006457920651882887, 0.018634306266903877, 0.009760826826095581, 0.141178697347641, 0.0040670111775398254, 0.002390909707173705, 0.021222403272986412, 0.0, 0.0029824748635292053, 0.0, 0.0, 0.002744205528870225, 0.0, 0.006687974091619253, 0.0, 0.0, 0.0, 0.25424161553382874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07913828641176224]"
Maitland,"[0.015085381455719471, 0.032402392476797104, 0.008029492571949959, 0.0, 0.006629254203289747, 0.0, 0.02916434220969677, 0.00938597321510315, 0.03323378413915634, 0.003960049245506525, 0.0, 0.000579786254093051, 0.05748635157942772, 0.08030586689710617, 0.01615743897855282, 0.24312734603881836, 0.0, 0.0, 0.033179089426994324, 0.0, 0.004485138691961765, 0.0008095128578133881, 0.005841619800776243, 0.0, 0.006968374364078045, 0.07873059809207916, 0.007668493315577507, 0.10681194067001343, 0.005732226185500622, 0.0027567194774746895, 0.1863958090543747, 0.0, 0.012820933945477009, 0.0, 0.0, 0.0, 0.0033365057315677404, 0.0033146271016448736, 0.0, 0.0056009539403021336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Mandurah,"[0.08116520941257477, 0.0, 0.09505149722099304, 0.0, 0.0, 0.0, 0.05192454159259796, 0.030951619148254395, 0.007649597711861134, 0.08824080973863602, 0.0, 0.0014901813119649887, 0.0018654862651601434, 0.031172387301921844, 0.09962138533592224, 0.0, 0.0, 0.0, 0.08287616074085236, 0.004735465161502361, 0.12305586785078049, 0.0002318059850949794, 0.0, 0.006302915047854185, 0.04831499233841896, 0.05574382096529007, 0.006159416399896145, 0.0331592932343483, 0.0033004756551235914, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004161469638347626, 0.02124888263642788, 0.0, 0.0, 0.003344629192724824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11823209375143051]"
Manjimup,"[0.0, 0.14373694360256195, 0.0, 0.0, 0.07522270083427429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055757176131010056, 0.02892334759235382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09050918370485306, 0.0366215780377388, 0.0, 0.0, 0.08753986656665802, 0.0, 0.0, 0.0, 0.4816892147064209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Manningham,"[0.007074413355439901, 0.0, 0.009205550886690617, 0.006433470174670219, 0.0, 0.0, 0.0, 0.03695840388536453, 0.0, 0.0, 0.012650622054934502, 0.0, 0.0073227789252996445, 0.0, 0.004166132770478725, 0.0072987438179552555, 0.12802845239639282, 0.0, 0.0, 0.0, 0.0, 8.812972373561934e-05, 0.04118061810731888, 0.0, 0.05049833282828331, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03663793206214905, 0.03664594143629074, 0.011040251702070236, 0.0, 0.0, 0.0, 0.031061721965670586, 0.024403922259807587, 0.0025717855896800756, 0.0, 0.12434303015470505, 0.34749552607536316, 0.0748942419886589, 0.0]"
Mansfield,"[0.026015227660536766, 0.5149564743041992, 0.08149021118879318, 0.02121102251112461, 0.0, 0.042875271290540695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009064539335668087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16370558738708496, 0.036802031099796295, 0.0, 0.05864756926894188, 0.021301668137311935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.032088469713926315]"
Mapoon,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.19354838132858276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8064516186714172, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Maralinga Tjarutja,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.29411765933036804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7058823704719543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Maranoa,"[0.0, 0.3809596598148346, 0.04203219339251518, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04744831845164299, 0.0, 0.0, 0.0, 0.0, 0.041345641016960144, 0.0, 0.0, 0.0073994966223835945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20726218819618225, 0.07826683670282364, 0.0, 0.12800365686416626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047677166759967804, 0.0, 0.01960485242307186, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Mareeba,"[0.029386306181550026, 0.09205400943756104, 0.03726304695010185, 0.0, 0.062191639095544815, 0.060676880180835724, 0.0, 0.02406301349401474, 0.0, 0.01891283690929413, 0.0, 0.01930234581232071, 0.02038431540131569, 0.0, 0.0, 0.0, 0.042066995054483414, 0.0, 0.06902968883514404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027482040226459503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09097204357385635, 0.0, 0.20998874306678772, 0.0, 0.0, 0.0, 0.023240717127919197, 0.0, 0.14900891482830048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023976456373929977]"
Maribyrnong,"[0.0067128269001841545, 0.0, 0.0, 0.012662832625210285, 0.0, 0.0, 0.029468372464179993, 0.0, 0.044795211404561996, 0.03790634870529175, 0.16011030972003937, 0.0, 0.0, 0.1416500359773636, 0.02391738072037697, 0.0, 0.004623870365321636, 0.04702499881386757, 0.015186010859906673, 0.014118061400949955, 0.0, 0.00010562140232650563, 0.0, 0.01833118125796318, 0.006349020171910524, 0.0, 0.0, 0.0, 0.0, 0.30569180846214294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007252669893205166, 0.0, 0.03525407984852791, 0.015514611266553402, 0.0, 0.0, 0.0, 0.01648867502808571, 0.03640417754650116, 0.0, 0.014610961079597473, 0.0, 0.00582091324031353, 0.0]"
Marion,"[0.012635968625545502, 0.0, 0.003106342162936926, 0.0, 0.0, 0.0, 0.03125296160578728, 0.10664757341146469, 0.029515516012907028, 0.1656891405582428, 0.32110100984573364, 0.0, 0.010866932570934296, 0.018385333940386772, 0.014826202765107155, 0.0, 0.00390662020072341, 0.008961007930338383, 0.04279381409287453, 0.0, 0.026967262849211693, 0.00031589920399710536, 0.0, 0.0, 0.006507523823529482, 0.04054039716720581, 0.0855560377240181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009266376495361328, 0.0, 0.0, 0.007939600385725498, 0.01824844442307949, 0.0, 0.0, 0.0, 0.01658470928668976, 0.0, 0.018385333940386772, 0.0, 0.0, 0.0]"
Maroondah,"[0.009650243446230888, 0.0, 0.010415308177471161, 0.0, 0.0, 0.0, 0.10015388578176498, 0.1091260015964508, 0.0, 0.1866409331560135, 0.1209758073091507, 0.0, 0.03529728949069977, 0.04804256558418274, 0.11371638625860214, 0.0, 0.0, 0.0, 0.020917555317282677, 0.0, 0.006137902848422527, 0.0007389826350845397, 0.0, 0.0, 0.02026551216840744, 0.0, 0.04658198729157448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03980942815542221, 0.0, 0.0, 0.005798840429633856, 0.04678194969892502, 0.0, 0.0038687915075570345, 0.0030863392166793346, 0.0, 0.0025820923037827015, 0.030054857954382896, 0.0, 0.021552210673689842, 0.017805134877562523]"
McKinlay,"[0.0, 0.4558645784854889, 0.0, 0.0, 0.0, 0.5441354513168335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Meander Valley,"[0.09561790525913239, 0.06990710645914078, 0.055034250020980835, 0.0, 0.012433142401278019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00023458759824279696, 0.1377498358488083, 0.0, 0.0, 0.08140189200639725, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023834099993109703, 0.0, 0.0, 0.0, 0.01825091429054737, 0.0710800439119339, 0.0418035089969635, 0.0, 0.14652341604232788, 0.11335272341966629, 0.03462512791156769, 0.0, 0.0, 0.016843389719724655, 0.0, 0.0, 0.0, 0.0, 0.03298301622271538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04832504317164421]"
Meekatharra,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.38704317808151245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6129568219184875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Melbourne,"[0.0, 0.0, 0.0, 0.27096644043922424, 0.0, 0.0, 0.0, 0.0, 0.04098382592201233, 0.0, 0.009510760195553303, 0.0, 0.0, 0.015646303072571754, 0.0, 0.0, 0.0016775832045823336, 0.0, 0.01370806060731411, 0.0, 0.0, 0.004050260875374079, 0.015098248608410358, 0.06436973810195923, 0.0, 0.0, 0.0, 0.0022055874578654766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025397674180567265, 0.02875952422618866, 0.4067704975605011, 0.0, 0.0, 0.0, 0.0, 0.002132067922502756, 0.1023392602801323, 0.0, 0.0, 0.0, 0.01924207992851734, 0.0]"
Melton,"[0.006667151115834713, 0.0027383940760046244, 0.007879868149757385, 0.0, 0.0028278108220547438, 0.0, 0.03412932902574539, 0.0025204401463270187, 0.0, 0.021678021177649498, 0.05067705363035202, 0.0, 0.0, 0.003302838420495391, 0.006085940636694431, 0.0, 0.0, 0.03466024249792099, 0.02807692065834999, 0.04160682111978531, 0.0, 0.0005253245471976697, 0.0012741914251819253, 0.0, 0.0, 0.049704644829034805, 0.08508022129535675, 0.001592739368788898, 0.0009165236842818558, 0.0, 0.0, 0.0, 0.0024422004353255033, 0.0, 0.0, 0.0, 0.03718627244234085, 0.0, 0.0, 0.0, 0.06577733904123306, 0.0, 0.009645853191614151, 0.012339538894593716, 0.0, 0.17748145759105682, 0.02138182707130909, 0.0, 0.0, 0.2918010354042053]"
Melville,"[0.0, 0.0, 0.02733597531914711, 0.003140399930998683, 0.0, 0.0, 0.01778915897011757, 0.058256834745407104, 0.023238960653543472, 0.08601797372102737, 0.005652720108628273, 0.0, 0.0, 0.03338486701250076, 0.01438786368817091, 0.0, 0.00491834944114089, 0.0, 0.0, 0.2320030927658081, 0.005053628236055374, 0.0, 0.02238863706588745, 0.05957097187638283, 0.2011498659849167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.033848680555820465, 0.08001739531755447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026253744959831238, 0.01274519320577383, 0.0, 0.05284568667411804, 0.0, 0.0, 0.0]"
Menzies,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8785578608512878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12144212424755096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Merredin,"[0.0, 0.08370750397443771, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14817190170288086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7681205868721008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Mid Murray,"[0.029309488832950592, 0.1345255821943283, 0.07948336005210876, 0.0, 0.01619473472237587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003874813672155142, 0.0, 0.0, 0.0, 0.03934426233172417, 0.0, 0.0, 0.004272230435162783, 0.0, 0.020268255844712257, 0.02682563289999962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04500745236873627, 0.21400894224643707, 0.0, 0.116145059466362, 0.1137605533003807, 0.04172876477241516, 0.0, 0.0, 0.11525087058544159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Mid-Coast,"[0.1793321818113327, 0.11725881695747375, 0.1351982057094574, 0.021311374381184578, 0.051618143916130066, 0.006065465975552797, 0.0, 0.0, 0.004245826043188572, 0.0, 0.0, 0.001490665366873145, 0.04151245951652527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016726292669773102, 0.0, 0.0019430051324889064, 0.0023850644938647747, 0.007473887875676155, 0.0, 0.0, 0.0, 0.0, 0.05614154040813446, 0.008882309310138226, 0.0, 0.21065671741962433, 0.0801258310675621, 0.024837568402290344, 0.01084587536752224, 0.0, 0.005109384190291166, 0.0, 0.0011616909177973866, 0.006754256319254637, 0.008923430927097797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Mid-Western Regional,"[0.014226880855858326, 0.23713964223861694, 0.06783976405858994, 0.0, 0.0, 0.016323475167155266, 0.0, 0.0, 0.01707225665450096, 0.0, 0.0, 0.000299513281788677, 0.05847996845841408, 0.0381130650639534, 0.0, 0.06259828060865402, 0.0, 0.0, 0.017334330826997757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11269187927246094, 0.07323099672794342, 0.0, 0.18734556436538696, 0.0, 0.0, 0.03792586922645569, 0.019430924206972122, 0.03994758427143097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Mildura,"[0.0046518160961568356, 0.0, 0.05009917914867401, 0.0, 0.041392385959625244, 0.0, 0.0, 0.0, 0.030034933239221573, 0.007074270863085985, 0.0, 0.00036863447166979313, 0.006477434188127518, 0.017132725566625595, 0.0, 0.02008180133998394, 0.005810381378978491, 0.0, 0.07920374721288681, 0.009882914833724499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11784015595912933, 0.036249056458473206, 0.0035634664818644524, 0.04813313111662865, 0.0, 0.008864781819283962, 0.0, 0.07885266840457916, 0.3280671238899231, 0.0, 0.0, 0.0, 0.0, 0.0369512178003788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06926817446947098]"
Mingenew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Mitcham,"[0.01607227325439453, 0.002750177402049303, 0.011399929411709309, 0.003119824919849634, 0.012568015605211258, 0.0, 0.01716643013060093, 0.18730778992176056, 0.0, 0.12057901918888092, 0.06010468304157257, 0.0, 0.006091790739446878, 0.007289448752999306, 0.14782942831516266, 0.0, 0.005529926624149084, 0.0060622189193964005, 0.008871540427207947, 0.0, 0.0180387981235981, 0.0008575821993872523, 0.031242607161402702, 0.021587414667010307, 0.1657351553440094, 0.0, 0.01179914828389883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03789626061916351, 0.05336231365799904, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024455878883600235, 0.0, 0.0, 0.0, 0.0, 0.022282350808382034]"
Mitchell,"[0.009973403997719288, 0.11508526653051376, 0.0, 0.003950250335037708, 0.0, 0.0, 0.024073060601949692, 0.0, 0.010579630732536316, 0.0, 0.0, 0.0, 0.028512202203273773, 0.0, 0.0, 0.09343710541725159, 0.0, 0.022000156342983246, 0.0074898311868309975, 0.0, 0.01476454921066761, 0.0013297871919348836, 0.0, 0.0, 0.0, 0.05958620086312294, 0.10472074151039124, 0.14518147706985474, 0.0, 0.0, 0.0625, 0.0, 0.05016035586595535, 0.0, 0.005045369267463684, 0.0, 0.015194774605333805, 0.0, 0.0, 0.0, 0.021159261465072632, 0.0, 0.0, 0.0, 0.0, 0.004791145212948322, 0.0, 0.0, 0.0, 0.20046542584896088]"
